Empresa,Ano,Receita Total (receita bruta),Lucro Líquido,Custo Operacional (OPEX),Número de Funcionários,País,Setor
QuantumLeap,2023,3200000,650000,1800000,450,Estados Unidos,Tecnologia
VerdeVida,2024,1100000,180000,750000,130,Brasil,Varejo
IronWorks,2022,5400000,890000,3800000,1200,Alemanha,Indústria
BlueOcean,2023,2150000,410000,1400000,310,Austrália,Logística
MediCare+,2024,1800000,290000,1200000,280,Canadá,Saúde
FinPrime,2021,4500000,1100000,2800000,600,Reino Unido,Finanças
SolarZen,2023,980000,150000,680000,110,Japão,Energia Renovável
AgroPulse,2022,1450000,320000,950000,200,Brasil,Agronegócio
SoftCloud,2024,2900000,720000,1500000,340,Israel,Tecnologia
UrbanBuild,2021,3100000,480000,2300000,550,França,Construção
FastTrack,2023,1650000,210000,1200000,290,Espanha,Logística
EcoFoods,2022,890000,125000,650000,140,Brasil,Alimentos
CyberShield,2024,2200000,550000,1100000,230,Estados Unidos,Tecnologia
HealthVibes,2023,1300000,240000,900000,190,Suécia,Saúde
BankNext,2022,6200000,1500000,3500000,950,Singapura,Finanças
SteelCore,2021,4100000,620000,3100000,800,China,Indústria
PureEnergy,2024,1750000,310000,1150000,260,Dinamarca,Energia Renovável
FreshMarket,2023,1050000,160000,780000,175,México,Varejo
EduTech,2022,1400000,270000,950000,210,Índia,Educação
AutoMotion,2021,5800000,920000,4200000,1500,Alemanha,Automotivo
GlobalShips,2023,3400000,580000,2400000,620,Holanda,Logística
BioGen,2024,2600000,650000,1600000,300,Suíça,Farmacêutica
CodeWave,2022,1950000,420000,1200000,250,Estônia,Tecnologia
TerraFirma,2023,1250000,200000,920000,185,Portugal,Agronegócio
ModaStyle,2021,920000,140000,690000,155,Itália,Moda
FutureHomes,2024,2100000,360000,1550000,320,Canadá,Imobiliário
SkyHigh,2022,4800000,850000,3400000,700,Emirados Árabes,Turismo
GreenLeaf,2023,1150000,195000,810000,165,Nova Zelândia,Agronegócio
DataMind,2024,3600000,980000,1900000,410,Estados Unidos,Tecnologia
RoyalHotel,2021,2300000,400000,1700000,500,Reino Unido,Hospitalidade
