Empresa,Ano,Receita Total (receita bruta),Lucro Líquido,Custo Operacional (OPEX),Número de Funcionários,País,Setor
Datavision,2021,850000,203000,612000,120,Brasil,Agronegócio
Eduworld,2023,920000,155000,694000,504,Espanha,Alimentos
Buildmax,2020,2200000,374000,1580000,220,Argentina,Alimentos
Agrolife,2024,1420000,256000,910000,180,França,Agronegócio
Datavision,2020,950000,224000,670000,593,México,Alimentos
Techglobal,2023,1550000,268000,902000,461,Dinamarca,Agronegócio
Ecopower,2024,2050000,362000,1325000,354,Portugal,Agronegócio
Ecopower,2021,1870000,454000,945000,156,Alemanha,Construção
Greenfuture,2022,1320000,245000,884000,270,Brasil,Energia Renovável
Infocore,2022,2480000,485000,980000,410,Estados Unidos,Tecnologia
Medihealth,2023,1150000,175000,830000,300,Reino Unido,Saúde
Solaris,2024,980000,145000,720000,210,Itália,Energia Renovável
Foodies,2021,870000,130000,650000,180,França,Alimentos
Buildwise,2022,1500000,290000,1050000,250,Canadá,Construção
Techmind,2023,2000000,450000,1300000,500,Estados Unidos,Tecnologia
Agroterra,2022,1250000,220000,800000,190,Brasil,Agronegócio
Ecohouse,2021,1100000,200000,750000,170,Alemanha,Construção
Nutrisol,2023,950000,140000,700000,160,Espanha,Alimentos
Greenwave,2022,1350000,250000,880000,275,Portugal,Energia Renovável
Infotech,2024,2400000,480000,970000,420,Estados Unidos,Tecnologia
AquaPure,2023,1020000,165000,760000,190,Canadá,Saúde
BuildPro,2024,1600000,300000,1080000,260,Itália,Construção
SolarNext,2022,1200000,230000,820000,240,Alemanha,Energia Renovável
Farmgrow,2018,780000,110000,560000,140,Argentina,Agronegócio
BioLife,2019,900000,135000,640000,160,Reino Unido,Saúde
Techvision,2018,1750000,320000,1180000,380,Estados Unidos,Tecnologia
Greenroots,2019,980000,150000,700000,210,Brasil,Energia Renovável
Constructa,2018,1300000,240000,890000,230,Portugal,Construção
Alimex,2019,850000,125000,620000,175,Espanha,Alimentos
